# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   366  2.3120e+07  1.6332e+02  3.4300e+09  
   367  2.3114e+07  1.6334e+02  3.4405e+09  
   368  2.3108e+07  1.6337e+02  3.4510e+09  
   369  2.3101e+07  1.6339e+02  3.4615e+09  
   370  2.3095e+07  1.6341e+02  3.4720e+09  
   371  2.3089e+07  1.6343e+02  3.4825e+09  
   372  2.3083e+07  1.6345e+02  3.4930e+09  
   373  2.3077e+07  1.6347e+02  3.5036e+09  
   374  2.3070e+07  1.6349e+02  3.5141e+09  
   375  2.3064e+07  1.6352e+02  3.5246e+09  
   376  2.3058e+07  1.6354e+02  3.5352e+09  
   377  2.3052e+07  1.6356e+02  3.5457e+09  
   378  2.3046e+07  1.6358e+02  3.5563e+09  
   379  2.3040e+07  1.6360e+02  3.5668e+09  
   380  2.3033e+07  1.6362e+02  3.5774e+09  
   381  2.3027e+07  1.6365e+02  3.5880e+09  
   382  2.3021e+07  1.6367e+02  3.5985e+09  
   383  2.3015e+07  1.6369e+02  3.6091e+09  
   384  2.3009e+07  1.6371e+02  3.6197e+09  
   385  2.3002e+07  1.6373e+02  3.6303e+09  
   386  2.2996e+07  1.6376e+02  3.6409e+09  
   387  2.2990e+07  1.6378e+02  3.6515e+09  
   388  2.2984e+07  1.6380e+02  3.6622e+09  
   389  2.2978e+07  1.6382e+02  3.6728e+09  
   390  2.2971e+07  1.6384e+02  3.6834e+09  
   391  2.2965e+07  1.6387e+02  3.6941e+09  
   392  2.2959e+07  1.6389e+02  3.7047e+09  
   393  2.2953e+07  1.6391e+02  3.7154e+09  
   394  2.2947e+07  1.6393e+02  3.7260e+09  
   395  2.2940e+07  1.6396e+02  3.7367e+09  
   396  2.2934e+07  1.6398e+02  3.7473e+09  
   397  2.2928e+07  1.6400e+02  3.7580e+09  
   398  2.2922e+07  1.6403e+02  3.7687e+09  
   399  2.2916e+07  1.6405e+02  3.7794e+09  
   400  2.2909e+07  1.6407e+02  3.7901e+09  
   401  2.2903e+07  1.6409e+02  3.8008e+09  
   402  2.2897e+07  1.6412e+02  3.8115e+09  
